頭文字,品目,料金,ふりがな
え,縁台　　 120cm以上　（コンクリート製不可）,"1,000",えんだい　　 120cmいじょう　（こんくりーとせいふか）
お,オイルヒーター,"1,000",おいるひーたー
お,応接用ソファー（1人掛け）,"1,000",おうせつようそふぁー（1にんがけ）
お,オーニング（可動式日よけ）,"1,000",おーにんぐ（かどうしきひよけ）
お,オーブン,"1,000",おーぶん
お,屋外コンテナ（高さと幅の合計210cm未満）,"1,000",おくがいこんてな（たかさとはばのごうけい210cmみまん）
お,折りたたみ自転車　20インチ以上,"1,000",おりたたみじてんしゃ　20いんちいじょう
お,折りたたみベッド （マット含む）,"1,000",おりたたみべっど （まっとふくむ）
お,温水ヒーター,"1,000",おんすいひーたー
お,温風器　最大辺60cm以上,"1,000",おんぷうき　さいだいへん60cmいじょう
か,ガーデンアーチ（簡易式）/ガーデニングアーチ（簡易式） 最大辺300cm以上,"1,000",がーでんあーち（かんいしき）/がーでにんぐあーち（かんいしき） さいだいへん300cmいじょう
か,学習机（キャビネット込み）　※蛍光管は外す,"1,000",がくしゅうづくえ（きゃびねっとこみ）　※けいこうかんははずす
か,ガスオーブン/ガスオーブンレンジ,"1,000",がすおーぶん/がすおーぶんれんじ
か,ガスファンヒーター　最大辺60cm以上,"1,000",がすふぁんひーたー　さいだいへん60cmいじょう
か,楽器（ベース／チェロ／その他類似する比較的大きな楽器）,"1,000",がっき（べーす／ちぇろ／そのたるいじするひかくてきおおきながっき）
か,門松（※砂、重りは取り除く）　高さ120cm以内　1対,"1,000",かどまつ（※すな、おもりはとりのぞく）　たかさ120cmいない　1たい
か,ガラステーブル　最大辺90cm以上,"1,000",がらすてーぶる　さいだいへん90cmいじょう
か,ガラス戸 (90cm×180cm),"1,000",がらすど (90cm×180cm)
か,枯葉用ブロアー　エンジン式　燃料は抜く,"1,000",かれはようぶろあー　えんじんしき　ねんりょうはぬく
か,枯葉用バキューム　エンジン式　燃料は抜く,"1,000",かれはようばきゅーむ　えんじんしき　ねんりょうはぬく
き,脚立（二折り時90cm以上３ｍ未満）,"1,000",きゃたつ（ふたつおりじ90cmいじょう３ｍみまん）
き,キャリアボックス（180cm以上） ※ベースキャリアを除く。,"1,000",きゃりあぼっくす（180cmいじょう） ※べーすきゃりあをのぞく。
き,鏡台/三面鏡（椅子は除く）,"1,000",きょうだい/さんめんきょう（いすはのぞく）
く,クーラーボックス（高さと幅の合計210cm未満）（電気式は不可）,"1,000",くーらーぼっくす（たかさとはばのごうけい210cmみまん）（でんきしきはふか）
く,草刈り機（エンジンあり）燃料は抜く,"1,000",くさかりき（えんじんあり）ねんりょうはぬく
け,健康器具（中）美脚マシーン／スピンスライダー等,"1,000",けんこうきぐ（なか）びきゃくましーん／すぴんすらいだーなど
け,健康ふとん・マット　（治療機能、マーサージ機能付き）,"1,000",けんこうふとん・まっと　（ちりょうきのう、まーさーじきのうつき）
こ,黒板（大）　90×180以上,"1,000",こくばん（だい）　90×180いじょう
こ,こたつ・家具調こたつ　最大辺90cm以上　こたつ板含む,"1,000",こたつ・かぐちょうこたつ　さいだいへん90cmいじょう　こたついたふくむ
こ,琴　6尺（長さ 約 180cm）,"1,000",こと　6しゃく（ながさ やく 180cm）
こ,子ども用電動自動車（全長1ｍ以上・バッテリーは除く）,"1,000",こどもようでんどうじどうしゃ（ぜんちょう1ｍいじょう・ばってりーはのぞく）
こ,コピー機・複合機（家庭用卓上型）　高さ50cmまで,"1,000",こぴーき・ふくごうき（かていようたくじょうがた）　たかさ50cmまで
こ,ごみ箱・コンテナ（高さと幅の合計180cm以上210cm未満）,"1,000",ごみばこ・こんてな（たかさとはばのごうけい180cmいじょう210cmみまん）
こ,ゴムボート（２人乗り用）,"1,000",ごむぼーと（２にんのりよう）
こ,コンポ（ステレオ）,"1,000",こんぽ（すてれお）
さ,サイクリングマシーン小型（健康器具）,"1,000",さいくりんぐましーんこがた（けんこうきぐ）
さ,座卓　最大辺90cm以上,"1,000",ざたく　さいだいへん90cmいじょう
さ,サッシ戸　(戸・扉）,"1,000",さっしと　(と・とびら）
さ,サンドバッグ　※砂は不可,"1,000",さんどばっぐ　※すなはふか
さ,三面鏡,"1,000",さんめんきょう
し,シーリングファンライト,"1,000",しーりんぐふぁんらいと
し,ジェルシート/ジェルマット　６畳以上,"1,000",じぇるしーと/じぇるまっと　６じょういじょう
し,敷物　6畳以上,"1,000",しきもの　6じょういじょう
し,自転車（20インチ以上）,"1,000",じてんしゃ（20いんちいじょう）
し,芝刈り機（エンジンあり）　燃料は抜く,"1,000",しばかりき（えんじんあり）　ねんりょうはぬく
し,芝刈り機（手押し型・電動式）,"1,000",しばかりき（ておしがた・でんどうしき）
し,シャンデリア（ランプ5個以上）,"1,000",しゃんでりあ（らんぷ5こいじょう）
し,食卓テーブル　最大辺90cm以上,"1,000",しょくたくてーぶる　さいだいへん90cmいじょう
し,食器洗い乾燥機（取付式）　　　　　ビルトインタイプ　不可,"1,000",しょっきあらいかんそうき（とりつけしき）　　　　　びるといんたいぷ　ふか
す,スチール机,"1,000",すちーるづくえ
す,ステレオコンポ（ミニコンポ）,"1,000",すてれおこんぽ（みにこんぽ）
せ,製図台（ドラフター）,"1,000",せいずだい（どらふたー）
せ,石油タンク・灯油タンク　　90?以下　　（屋外用・架台込み　燃料は抜く）,"1,000",せきゆたんく・とうゆたんく　　90?いか　　（おくがいよう・かだいこみ　ねんりょうはぬく）
せ,セラミックヒーター　最大辺60cm以上,"1,000",せらみっくひーたー　さいだいへん60cmいじょう
せ,船外機　10馬力未満まで　燃料は抜く,"1,000",せんがいき　10ばりきみまんまで　ねんりょうはぬく
せ,せん定枝粉砕機　（家庭用　100V）,"1,000",せんていえだふんさいき　（かていよう　100V）
そ,ソーラーライト（庭園灯　支柱込み）,"1,000",そーらーらいと（ていえんとう　しちゅうこみ）
そ,ソファー（応接用　一人掛け）,"1,000",そふぁー（おうせつよう　ひとりがけ）
た,台車（長さ80cm以上）,"1,000",だいしゃ（ながさ80cmいじょう）
た,ダイニングテーブル　最大辺90cm以上,"1,000",だいにんぐてーぶる　さいだいへん90cmいじょう
た,ダイニング用椅子（2人掛け・背もたれ有り）,"1,000",だいにんぐよういす（2にんがけ・せもたれあり）
つ,机　（学習机　キャビネット込み）,"1,000",つくえ　（がくしゅうづくえ　きゃびねっとこみ）
つ,机　（座卓タイプ）　最大辺90cm以上,"1,000",つくえ　（ざたくたいぷ）　さいだいへん90cmいじょう
つ,机　（スチール製・木製）,"1,000",つくえ　（すちーるせい・もくせい）
つ,机　（ライティングデスク） 高さ120㎝未満,"1,000",つくえ　（らいてぃんぐですく） たかさ120㎝みまん
て,テーブル　最大辺90cm以上,"1,000",てーぶる　さいだいへん90cmいじょう
て,庭園灯（ソーラーライト式　支柱含む）,"1,000",ていえんとう（そーらーらいとしき　しちゅうふくむ）
て,電気餅つき機,"1,000",でんきもちつきき
て,電子レンジ,"1,000",でんしれんじ
て,天体望遠鏡　台付き,"1,000",てんたいぼうえんきょう　だいつき
て,テント一式（6人用以上）,"1,000",てんといしき（6にんよういじょう）
て,電動マッサージ器　座椅子式折りたたみ式 背もたれ長さ80cm以上,"1,000",でんどうまっさーじうつわ　ざいすしきおりたたみしき せもたれながさ80cmいじょう
と,ドア　木製,"1,000",どあ　もくせい
と,灯油タンク・石油タンク　　90?以下　　（屋外用・架台込み　燃料は抜く）,"1,000",とうゆたんく・せきゆたんく　　90?いか　　（おくがいよう・かだいこみ　ねんりょうはぬく）
と,扉（木製）,"1,000",とびら（もくせい）
と,トレーニング機器（中）美脚マシーン／スピンスライダー等,"1,000",とれーにんぐきき（なか）びきゃくましーん／すぴんすらいだーなど
と,ドレッサー　※椅子は除く,"1,000",どれっさー　※いすはのぞく
な,内転筋エクササイザー,"1,000",ないてんきんえくささいざー
な,長椅子（背もたれ有り）,"1,000",ながいす（せもたれあり）
に,24時間風呂（循環型温水器）,"1,000",24じかんぶろ（じゅんかんがたおんすいき）
は,バーベキューグリル　グリルの最大辺90cm以上,"1,000",ばーべきゅーぐりる　ぐりるのさいだいへん90cmいじょう
は,パイプベッド　（折り畳み式簡易型　マット付）,"1,000",ぱいぷべっど　（おりたたみしきかんいがた　まっとつき）
は,枯葉用バキューム　エンジン式　燃料は抜く,"1,000",かれはようばきゅーむ　えんじんしき　ねんりょうはぬく
は,はしご（3ｍ未満）,"1,000",はしご（3ｍみまん）
は,バスケットゴールセット（解体できないものは収集不可）,"1,000",ばすけっとごーるせっと（かいたいできないものはしゅうしゅうふか）
は,パソコンプリンター・複合機（家庭用卓上型）　高さ50cmまで,"1,000",ぱそこんぷりんたー・ふくごうき（かていようたくじょうがた）　たかさ50cmまで
は,パチンコ台,"1,000",ぱちんこだい
ひ,ひな壇飾り（7段未満・人形有り）,"1,000",ひなだんかざり（7だんみまん・にんぎょうあり）
ひ,ひな壇飾り（7段以上・人形無し）,"1,000",ひなだんかざり（7だんいじょう・にんぎょうなし）
ひ,屏風（折り畳んで最大辺180cm以上270cmまで）,"1,000",びょうぶ（おりたたんでさいだいへん180cmいじょう270cmまで）
ひ,日よけ/ロールスクリーン　最大辺280～400cmまで,"1,000",ひよけ/ろーるすくりーん　さいだいへん280～400cmまで
ふ,ファクシミリ・複合機（家庭用卓上型）　高さ50cmまで,"1,000",ふぁくしみり・ふくごうき（かていようたくじょうがた）　たかさ50cmまで
ふ,ファンヒーター 　（電気・石油・ガス　燃料は抜く） 最大辺60cm以上,"1,000",ふぁんひーたー 　（でんき・せきゆ・がす　ねんりょうはぬく） さいだいへん60cmいじょう
ふ,複合機（家庭用卓上型）　高さ50cmまで,"1,000",ふくごうき（かていようたくじょうがた）　たかさ50cmまで
ふ,フラワーアーケード（簡易式）　最大辺300cm以上,"1,000",ふらわーあーけーど（かんいしき）　さいだいへん300cmいじょう
ふ,ぶらさがり健康機器,"1,000",ぶらさがりけんこうきき
ふ,ブランコ（2人乗り）,"1,000",ぶらんこ（2にんのり）
ふ,プリンター・複合機（家庭用卓上型）　高さ50cmまで,"1,000",ぷりんたー・ふくごうき（かていようたくじょうがた）　たかさ50cmまで
ふ,ブロアー(枯葉用)　エンジン式　燃料は抜く,"1,000",ぶろあー(かれはよう)　えんじんしき　ねんりょうはぬく
ふ,風呂釜（ガスバーナータイプ）,"1,000",ふろがま（がすばーなーたいぷ）
へ,ベッド（折りたたみ式簡易型　マット含む）,"1,000",べっど（おりたたみしきかんいがた　まっとふくむ）
へ,ベッドの床板,"1,000",べっどのゆかいた
へ,ベッドマット　スプリング無し,"1,000",べっどまっと　すぷりんぐなし
へ,"ベンチ（庭用2,3人用　金属部品を含まないもの）","1,000","べんち（にわよう2,3にんよう　きんぞくぶひんをふくまないもの）"
ほ,望遠鏡　台付き,"1,000",ぼうえんきょう　だいつき
ほ,ポケットバイク（バッテリー式） バッテリーは除く,"1,000",ぽけっとばいく（ばってりーしき） ばってりーはのぞく
ま,麻雀台,"1,000",まーじゃんだい
ま,マッサージチェア　座椅子式 背もたれ長さ80cm以上,"1,000",まっさーじちぇあ　ざいすしき せもたれながさ80cmいじょう
み,ミニコンポ（本体、スピーカー2個とも）,"1,000",みにこんぽ（ほんたい、すぴーかー2ことも）
も,餅つき機（２升以上）,"1,000",もちつきき（２しょういじょう）
も,物置　高さ120cm以下、床面積半畳未満、解体済みの状態,"1,000",ものおき　たかさ120cmいか、ゆかめんせきはんじょうみまん、かいたいすみのじょうたい
よ,浴槽の釜（ガスバーナタイプ）,"1,000",よくそうのかま（がすばーなたいぷ）
ら,ライティングデスク （高さ120㎝未満）,"1,000",らいてぃんぐですく （たかさ120㎝みまん）
ら,ライトテーブル　最大辺90cm以上,"1,000",らいとてーぶる　さいだいへん90cmいじょう
ら,ラブチェア,"1,000",らぶちぇあ
り,リクライニングソファー（1人用）,"1,000",りくらいにんぐそふぁー（1にんよう）
り,リクライニングチェア　高さ1m以上,"1,000",りくらいにんぐちぇあ　たかさ1mいじょう
れ,冷風機（水を使用するもの）,"1,000",れいふうき（みずをしようするもの）
れ,レンジ（ガスオーブン・電子）,"1,000",れんじ（がすおーぶん・でんし）
ろ,ローソファー（2人用以上）座面の高さ20㎝未満　長椅子型,"1,000",ろーそふぁー（2にんよういじょう）ざめんのたかさ20㎝みまん　ながいすがた
ろ,ロールスクリーン/日よけ　最大辺280～400cmまで,"1,000",ろーるすくりーん/ひよけ　さいだいへん280～400cmまで
あ,アイスボックス（高さと幅の合計210cm以上）,"2,000",あいすぼっくす（たかさとはばのごうけい210cmいじょう）
あ,アシスト付自転車（バッテリーは除く）,"2,000",あしすとつきじてんしゃ（ばってりーはのぞく）
あ,脚付きのマットレス,"2,000",あしつきのまっとれす
あ,足ぶみミシン,"2,000",あしぶみみしん
い,椅子式マッサージチェア　フットマッサージ機能なし,"2,000",いすしきまっさーじちぇあ　ふっとまっさーじきのうなし
う,ウッドカーペット（6畳以上）,"2,000",うっどかーぺっと（6じょういじょう）
え,エアロバイク（健康器具）,"2,000",えあろばいく（けんこうきぐ）
お,応接用ソファー（2人掛け以上　長椅子型）,"2,000",おうせつようそふぁー（2にんかけいじょう　ながいすがた）
お,屋外コンテナ（高さと幅の合計210cm以上）,"2,000",おくがいこんてな（たかさとはばのごうけい210cmいじょう）
お,折りたたみベッド 電動式（マット含む）,"2,000",おりたたみべっど でんどうしき（まっとふくむ）
か,楽器（ドラムセット／その他類似する大型楽器）,"2,000",がっき（どらむせっと／そのたるいじするおおがたがっき）
か,門松（※砂、重りは取り除く）　高さ120cm以上　1対,"2,000",かどまつ（※すな、おもりはとりのぞく）　たかさ120cmいじょう　1たい
か,簡易サウナ（180cm×80cm×80cm）,"2,000",かんいさうな（180cm×80cm×80cm）
く,クーラーボックス（高さと幅の合計210cm以上）（電気式は不可）,"2,000",くーらーぼっくす（たかさとはばのごうけい210cmいじょう）（でんきしきはふか）
け,健康器具（大）腹筋台／ランニングマシン／ロデオマシン等,"2,000",けんこうきぐ（だい）ふっきんだい／らんにんぐましん／ろでおましんなど
こ,ごみ箱・コンテナ（高さと幅の合計210cm以上）,"2,000",ごみばこ・こんてな（たかさとはばのごうけい210cmいじょう）
こ,ゴムボート（２人乗り以上）,"2,000",ごむぼーと（２にんのりいじょう）
さ,サイクリングマシーン（健康器具）,"2,000",さいくりんぐましーん（けんこうきぐ）
さ,サウナ簡易型　（180cm×80cm×80cm）,"2,000",さうなかんいがた　（180cm×80cm×80cm）
さ,三段ベッド（上段・中段・下段の内の1段のみ）※ハシゴ含む,"2,000",三だんべっど（じょうだん・ちゅうだん・げだんのうちの1だんのみ）※はしごふくむ
さ,三輪車（大人用）,"2,000",さんりんしゃ（おとなよう）
す,スチール机　両袖タイプ,"2,000",すちーるづくえ　りょうそでたいぷ
す,ステレオセット　（アンプ、チューナー、プレイヤー、スピーカー含む）,"2,000",すてれおせっと　（あんぷ、ちゅーなー、ぷれいやー、すぴーかーふくむ）
す,スプリングマット（ベッドマット・スプリング入り）,"2,000",すぷりんぐまっと（べっどまっと・すぷりんぐはいり）
す,スロット台,"2,000",すろっとだい
せ,石油タンク・灯油タンク　　90?以上180?未満　　（屋外用・架台込み　燃料は抜く）,"2,000",せきゆたんく・とうゆたんく　　90?いじょう180?みまん　　（おくがいよう・かだいこみ　ねんりょうはぬく）
せ,セミダブルベッド　※板込み、ベッドマット・畳は別,"2,000",せみだぶるべっど　※いたこみ、べっどまっと・たたみはべつ
そ,ソファー（応接用　二人掛け以上　長椅子型）　※分離するタイプは１点ずつ,"2,000",そふぁー（おうせつよう　ふたりがけいじょう　ながいすがた）　※ぶんりするたいぷは１てんずつ
そ,ソファーベッド,"2,000",そふぁーべっど
た,ダブルベッド　※板込み、ベッドマット・畳は別,"2,000",だぶるべっど　※いたこみ、べっどまっと・たたみはべつ
ち,中国琴（楊琴）　一式,"2,000",ちゅうごくこと（ようこと）　いしき
つ,机　（スチール製・木製　両袖タイプ）,"2,000",つくえ　（すちーるせい・もくせい　りょうそでたいぷ）
つ,机　（ライティングデスク） 高さ120㎝以上,"2,000",つくえ　（らいてぃんぐですく） たかさ120㎝いじょう
て,電動折りたたみベッド,"2,000",でんどうおりたたみべっど
て,電動アシスト付自転車　バッテリーは除く,"2,000",でんどうあしすとつきじてんしゃ　ばってりーはのぞく
て,電動マッサージ器　椅子式・フットマッサージ器能なし,"2,000",でんどうまっさーじうつわ　いすしき・ふっとまっさーじうつわのうなし
て,電動マッサージ器　折りたたみ式,"2,000",でんどうまっさーじうつわ　おりたたみしき
て,電動リクライニングソファー（1人掛け）,"2,000",でんどうりくらいにんぐそふぁー（1にんがけ）
と,灯油タンク・石油タンク　　90?以上180?未満　　（屋外用・架台込み　燃料は抜く）,"2,000",とうゆたんく・せきゆたんく　　90?いじょう180?みまん　　（おくがいよう・かだいこみ　ねんりょうはぬく）
と,ドラムセット,"2,000",どらむせっと
と,トレーニング機器（大）腹筋台／ランニングマシン／ロデオマシン等,"2,000",とれーにんぐきき（だい）ふっきんだい／らんにんぐましん／ろでおましんなど
に,二段ベッド（上段または下段のみ）※ハシゴ含む,"2,000",二だんべっど（じょうだんまたはげだんのみ）※はしごふくむ
は,パイプベッド,"2,000",ぱいぷべっど
は,はしご（3ｍ以上4ｍまで）,"2,000",はしご（3ｍいじょう4ｍまで）
は,パチスロ台,"2,000",ぱちすろだい
ひ,ひな壇飾り（7段以上・人形有り）,"2,000",ひなだんかざり（7だんいじょう・にんぎょうあり）
へ,ベッド　※板込み、ベッドマット・畳は別,"2,000",べっど　※いたこみ、べっどまっと・たたみはべつ
へ,ベッド（折りたたみ 電動式　マット含む）,"2,000",べっど（おりたたみ でんどうしき　まっとふくむ）
へ,ベッド　二段ベッド三段ベッドの上段、中段、下段の一段のみ,"2,000",べっど　二だんべっど三だんべっどのじょうだん、ちゅうだん、げだんの一だんのみ
へ,ベッドマット　スプリング入り,"2,000",べっどまっと　すぷりんぐはいり
へ,ベッドマット　脚付き,"2,000",べっどまっと　あしつき
へ,ベルトマッサージ器（健康器具）,"2,000",べるとまっさーじうつわ（けんこうきぐ）
へ,"ベンチ（庭用2,3人用　一部金属部品が含まれるもの）","2,000","べんち（にわよう2,3にんよう　いちぶきんぞくぶひんがふくまれるもの）"
ま,麻雀台（電動式）,"2,000",まーじゃんだい（でんどうしき）
ま,椅子式マッサージチェア　フットマッサージ機能なし,"2,000",いすしきまっさーじちぇあ　ふっとまっさーじきのうなし
ま,マッサージチェア　（折りたたみ式）,"2,000",まっさーじちぇあ　（おりたたみしき）
ま,マットレス　脚付き,"2,000",まっとれす　あしつき
み,ミシン（卓上式以外のもの）,"2,000",みしん（たくじょうしきいがいのもの）
も,物置　高さ180cm以下、床面積1畳未満、解体済みの状態,"2,000",ものおき　たかさ180cmいか、ゆかめんせき1じょうみまん、かいたいすみのじょうたい
よ,楊琴（中国琴）　一式,"2,000",ようこと（ちゅうごくこと）　いしき
よ,洋式ベッド（マットを除く）,"2,000",ようしきべっど（まっとをのぞく）
ら,ライティングデスク （高さ120㎝以上）,"2,000",らいてぃんぐですく （たかさ120㎝いじょう）
り,リクライニングソファー（2人用）,"2,000",りくらいにんぐそふぁー（2にんよう）
り,リクライニング電動ソファー（1人用）,"2,000",りくらいにんぐでんどうそふぁー（1にんよう）
り,リヤカー,"2,000",りやかー
ろ,ローイングマシーン,"2,000",ろーいんぐましーん
ろ,ロデオマシーン　（健康器具）,"2,000",ろでおましーん　（けんこうきぐ）
ろ,ロフトベッド（机なし）　※ハシゴ含む,"2,000",ろふとべっど（つくえなし）　※はしごふくむ
わ,和式ベッド（床面が畳の場合は外す）,"2,000",わしきべっど（ゆかめんがたたみのばあいははずす）
い,椅子式マッサージチェア　全身フットマッサージ付,"3,000",いすしきまっさーじちぇあ　ぜんしんふっとまっさーじつき
う,ウォーターベッド,"3,000",うぉーたーべっど
お,オルガン（電子オルガンを含む）,"3,000",おるがん（でんしおるがんをふくむ）
か,介護用ベッド（ベッドマットは別途）,"3,000",かいごようべっど（べっどまっとはべっと）
か,楽器（オルガン／電子オルガン）,"3,000",がっき（おるがん／でんしおるがん）
く,車椅子（電動式）,"3,000",くるまいす（でんどうしき）
さ,三段ベッド　※ハシゴ含む,"3,000",三だんべっど　※はしごふくむ
さ,三輪車（大人用）電動アシスト付　バッテリーは除く,"3,000",さんりんしゃ（おとなよう）でんどうあしすとつき　ばってりーはのぞく
た,卓球台,"3,000",たっきゅうだい
つ,机　（ロフトベット付）,"3,000",つくえ　（ろふとべっとつき）
て,電動車椅子　バッテリーは除く,"3,000",でんどうくるまいす　ばってりーはのぞく
て,電動アシスト付三輪車　バッテリーは除く,"3,000",でんどうあしすとつきさんりんしゃ　ばってりーはのぞく
て,電動マッサージ器　椅子式・全身フットマッサージ付,"3,000",でんどうまっさーじうつわ　いすしき・ぜんしんふっとまっさーじつき
に,二段ベッド　※ハシゴ含む,"3,000",二だんべっど　※はしごふくむ
へ,ベッド　二段　※ハシゴ含む,"3,000",べっど　二だん　※はしごふくむ
へ,ベッド　三段　※ハシゴ含む,"3,000",べっど　さんだん　※はしごふくむ
ま,椅子式マッサージチェア　全身フットマッサージ付,"3,000",いすしきまっさーじちぇあ　ぜんしんふっとまっさーじつき
も,物置　高さ200cm以下、床面積2畳未満、解体済みの状態,"3,000",ものおき　たかさ200cmいか、ゆかめんせき2じょうみまん、かいたいすみのじょうたい
ろ,ロフトベッド（机付）　※ハシゴ含む,"3,000",ろふとべっど（つくえつき）　※はしごふくむ
い,板（石膏ボード）　  　収集不可,不可,ばん（せっこうぼーど）　 　しゅうしゅうふか
お,大型木槌（かけや）　太さが5cm以上のため不可,不可,おおがたきづち（かけや）　ふとさが5cmいじょうのためふか
か,かけや（大型木槌）　太さが5cm以上のため不可,不可,かけや（おおがたきづち）　ふとさが5cmいじょうのためふか
き,杵　太さが5cm以上のため不可,不可,きね　ふとさが5cmいじょうのためふか
せ,石膏ボード（板）　　収集不可,不可,せっこうぼーど（いた）　　しゅうしゅうふか
た,ダンベル　　収集不可,不可,だんべる　　しゅうしゅうふか
ふ,ブロック（建築資材）  　収集不可,不可,ぶろっく（けんちくしざい） 　しゅうしゅうふか
れ,レンジフード　（工作物　収集不可）,不可,れんじふーど　（こうさくぶつ　しゅうしゅうふか）
わ,ワインセラー（ワインクーラー）　　　家電リサイクル品,不可,わいんせらー（わいんくーらー）　　　かでんりさいくるひん
か,簡易焼却炉,無料,かんいしょうきゃくろ
こ,コンポスター（生ごみ堆肥化容器）,無料,こんぽすたー（なまごみたいひかようき）
し,焼却炉,無料,しょうきゃくろ
せ,せん定枝 （太さ10cm未満の枝で、長さ60cmまで、直径30cm程度の束にまとめて、一度に5束まで）,無料,せんていえだ （ふとさ10cmみまんのえだで、ながさ60cmまで、ちょっけい30cmていどのたばにまとめて、いちどに5そくまで）
な,生ごみ堆肥化容器（コンポスター）,無料,なまごみたいひかようき（こんぽすたー）
